year,toy_num,model_name,series,photo_url
1987,Malaysia,Power Plower,Red w/Blue bed and roll bar,https://static.wikia.nocookie.net/hotwheels/images/4/4c/Power_Plower_RedRRW.JPG/revision/latest?cb=20081222034518
1987,Malaysia,Rescue Ranger,Green,https://static.wikia.nocookie.net/hotwheels/images/3/3a/Rescue_Ranger_RRW.JPG/revision/latest?cb=20150415032229
1988,3338,Assault Crawler,Action Command,https://static.wikia.nocookie.net/hotwheels/images/f/f1/Assault_Crawler_-_0039df.jpg/revision/latest?cb=20081209205252
1988,3715,CAT Earth Mover,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/3/33/CAT_Earth_Mover_-_3189df.jpg/revision/latest?cb=20080926140258
1988,3853,CAT Road Roller,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/6/66/Road_roller_rare_5-bar_version.JPG/revision/latest?cb=20111011175856
1988,1897,Ferrari Testarossa,,https://static.wikia.nocookie.net/hotwheels/images/b/b7/Ferrari_Testarossa_BlkUH.JPG/revision/latest?cb=20081222052713
1988,1897,Ferrari Testarossa,,https://static.wikia.nocookie.net/hotwheels/images/f/fa/Ferrari_Testarossa_WhtUH.JPG/revision/latest?cb=20100321043008
1988,1897,Ferrari Testarossa,Turbo Trax Turbo Glo Set,https://static.wikia.nocookie.net/hotwheels/images/6/6b/Ferrari_Testarrosa_RedArw.JPG/revision/latest?cb=20081222054237
1988,3716,Monster Vette,,https://static.wikia.nocookie.net/hotwheels/images/4/45/Monster_Vette_yelCTS.JPG/revision/latest?cb=20090925031513
1988,3851,Phantomachine,Speed Demons,https://static.wikia.nocookie.net/hotwheels/images/c/cd/Phantomachine.JPG/revision/latest?cb=20090113020639
1988,3286,Sharkruiser,Speed Demons,https://static.wikia.nocookie.net/hotwheels/images/7/7e/Sharkruiser_PrpUH.JPG/revision/latest?cb=20090113054003
1988,3209,Suzuki Quadracer,,https://static.wikia.nocookie.net/hotwheels/images/6/67/Suzuki_QuadracerCTY.JPG/revision/latest?cb=20091115064908
1988,4059,Tail Gunner 5T,Action Command,https://static.wikia.nocookie.net/hotwheels/images/4/43/Tail_Gunner_GrnCT.JPG/revision/latest?cb=20090104165546
1988,3852,Zombot,,https://static.wikia.nocookie.net/hotwheels/images/2/26/Zombot_GldUH.JPG/revision/latest?cb=20090113013344
1988,1500,Road Torch,,https://static.wikia.nocookie.net/hotwheels/images/7/72/Road_Torch.JPG/revision/latest?cb=20090123004218
1988,1456,Thunderburner,,https://static.wikia.nocookie.net/hotwheels/images/c/c1/ThunderBurner_BlkGW.JPG/revision/latest?cb=20081220233030
1988,5907,Baja Bug,,https://static.wikia.nocookie.net/hotwheels/images/f/fe/Baja_Bug_WhtBW.JPG/revision/latest?cb=20091018123422
1988,7527,Pontiac Fiero 2M4,,https://static.wikia.nocookie.net/hotwheels/images/5/5f/Fiero_GHO.JPG/revision/latest?cb=20090114182926
1988,7527,Pontiac Fiero 2M4,,https://static.wikia.nocookie.net/hotwheels/images/9/91/Fiero_RedUH.JPG/revision/latest?cb=20090114183113
1989,5026,Alien,,https://static.wikia.nocookie.net/hotwheels/images/4/4d/Alien_BluUH.JPG/revision/latest?cb=20090105155025
1989,5026,Alien,,https://static.wikia.nocookie.net/hotwheels/images/7/72/Alien_redUH.JPG/revision/latest?cb=20090105160948
1989,5027,Flame Stopper,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/a/ab/Flame_Stopper_RedCT.JPG/revision/latest?cb=20090325000248
1989,4384,Lamborghini Countach,Speed Fleet,https://static.wikia.nocookie.net/hotwheels/images/8/8b/Cod60.jpg/revision/latest?cb=20081031024712
1989,4389,Rodzilla,Speed Demons,https://static.wikia.nocookie.net/hotwheels/images/b/b0/Rodzilla_PrpUH.JPG/revision/latest?cb=20090112191315
1989,4392,Nissan Hardbody,,https://static.wikia.nocookie.net/hotwheels/images/6/69/Nissan_Harbody_WhtRd.JPG/revision/latest?cb=20090220055224
1989,4631,Porsche 959,1988 Hot Wheels,https://static.wikia.nocookie.net/hotwheels/images/e/e2/Porsche_959_DkMtRed.JPG/revision/latest?cb=20090120021609
